method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.005723232693142361,0.022873263888888894,0.18966316571459174,33757,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.006488206651475694,0.025911458333333335,0.18102945387363434,38269,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.03,0.0020526462131076387,0.008204481336805555,0.1646983753889799,12107,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.03,0.002475314670138889,0.00989447699652778,0.15996450604870915,14600,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000018,0.0006566365559895833,0.002625868055555555,0.14431267883628607,3873,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000018,0.0008046468098958333,0.0032185872395833343,0.1427736566402018,4746,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.010000000000000009,0.00022176106770833333,0.0008870442708333334,0.13045523315668106,1308,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.010000000000000009,0.000299072265625,0.001195610894097222,0.13108306098729372,1764,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00014326307508680556,0.0005730523003472222,0.12558964919298887,845,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00019056532118055556,0.0007622612847222224,0.12652947008609772,1124,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.009999999999999981,0.00023040771484375,0.000921630859375,0.1304955706000328,1359,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.009999999999999981,0.00026312934027777776,0.0010525173611111113,0.1297406074590981,1552,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.01999999999999999,0.0006549411349826389,0.0026190863715277782,0.1442704051733017,3863,5898240,,,,,Classical OFDM
