method,method_label,occupied_bandwidth_fraction,occupied_bandwidth,nominal_ofdm_bandwidth,out_of_band_power_ratio
OFDM,Classical OFDM,0.99,0.730224609375,0.78125,0.004160668977824411
Learned,Learned Basis,0.99,0.793212890625,0.78125,0.017453539672612095
