stage,modulation,N,M,train_ebn0_db,eval_ebn0_db,epochs,cfo_span,best_global_epoch,best_stage_epoch,clean_identity_loss,clean_offdiag_leakage,mean_validation_offdiag,mean_validation_diag_loss,mean_validation_local_leakage,validation_symbol_loss,validation_spectral_loss,receiver_fro_norm_sq,stage_failed,stop_reason
Stage A,16QAM,45,64,15.0,12.0,350,0.0,125,125,0.000660459219943732,0.0003969755780417472,0.0003969755780417472,5.886970029678196e-06,3.329207902424969e-05,0.01258668303489685,0.0,43.55043029785156,False,Completed.
Stage B,16QAM,45,64,15.0,12.0,1000,0.05,1200,850,0.0007915767491795123,0.0003863266611006111,0.0005754022859036922,0.0025733900256454945,0.00010038458276540041,0.023985758423805237,0.0,43.348270416259766,False,Completed.
Stage C,16QAM,45,64,15.0,12.0,950,0.1,2275,925,0.000816029089037329,0.0003766962036024779,0.0006591887795366347,0.006692579947412014,0.00011284976790193468,0.04160011559724808,0.0,43.320770263671875,False,Completed.
