method,method_label,eps,integrated_log10_ber_vs_snr,ber_at_lowest_snr,ber_at_highest_snr
OFDM,Classical OFDM,0.0,-76.64990437160115,0.14100884331597222,0.0
Learned,Learned Basis,0.0,-75.53512986577363,0.14152899848090278,0.0
OFDM,Classical OFDM,0.05,-33.914709995798546,0.1558347913953993,0.0017913818359375
Learned,Learned Basis,0.05,-33.52877355486686,0.15303107367621527,0.0029946221245659723
OFDM,Classical OFDM,0.1,-18.331341213727054,0.19471079508463543,0.09920772976345486
Learned,Learned Basis,0.1,-20.09801567433709,0.18384433322482638,0.07746209038628472
