method,method_label,papr_mean_db,papr_p95_db,papr_max_db
OFDM,Classical OFDM,6.6489739418029785,8.40086555480957,10.876513481140137
Learned,Learned Basis,5.559289932250977,7.049527168273926,9.185726165771484
