stage,global_epoch,stage_epoch,modulation,N,M,train_ebn0_db,eval_ebn0_db,cfo_span,train_total,train_L0,train_Loff,train_Ldiag,train_LV,train_Lsym,train_Lnn,train_Lspec,val_total,val_L0,val_Loff,val_Ldiag,val_LV,val_Lsym,val_Lnn,val_Lspec,clean_offdiag_leakage,rx_fro_norm_sq,elapsed_s
Stage A,1,1,16QAM,45,64,15.0,12.0,0.0,0.03676369786262512,4.991344490501426e-11,0.0,0.0,45.0,0.01141095906496048,0.0,0.0,0.042501065880060196,0.002117205411195755,0.0,0.0,44.59746551513672,0.014468099921941757,0.0,0.0,0.0020786868408322334,44.59746551513672,0.04444249998778105
Stage A,25,25,16QAM,45,64,15.0,12.0,0.0,0.03753632307052612,0.000654265284538269,0.0,0.0,43.80486297607422,0.011983701027929783,0.0,0.0,0.03823427855968475,0.0006371216150000691,0.0,0.0,43.75703430175781,0.012574911117553711,0.0,0.0,0.00044179544784128666,43.75703430175781,0.1303450829582289
Stage A,50,50,16QAM,45,64,15.0,12.0,0.0,0.03741386532783508,0.0006545829237438738,0.0,0.0,43.601741790771484,0.01196672860532999,0.0,0.0,0.03822581470012665,0.0006484800833277404,0.0,0.0,43.59624481201172,0.012623367831110954,0.0,0.0,0.00039946820470504463,43.59624481201172,0.2109034579480067
Stage A,75,75,16QAM,45,64,15.0,12.0,0.0,0.037599291652441025,0.0006458438001573086,0.0,0.0,43.57135772705078,0.012134213000535965,0.0,0.0,0.038144223392009735,0.0006475833943113685,0.0,0.0,43.5687255859375,0.012569821439683437,0.0,0.0,0.00039042241405695677,43.5687255859375,0.290568666998297
Stage A,100,100,16QAM,45,64,15.0,12.0,0.0,0.037281375378370285,0.0006586493109352887,0.0,0.0,43.55722427368164,0.011875290423631668,0.0,0.0,0.03831648826599121,0.0006581586203537881,0.0,0.0,43.547393798828125,0.012707703746855259,0.0,0.0,0.0003915736742783338,43.547393798828125,0.37027974997181445
Stage A,125,125,16QAM,45,64,15.0,12.0,0.0,0.03728676587343216,0.0006561157642863691,0.0,0.0,43.54317092895508,0.01188725233078003,0.0,0.0,0.037799473851919174,0.000660459219943732,0.0,0.0,43.55043029785156,0.012291040271520615,0.0,0.0,0.0003969755780417472,43.55043029785156,0.44825416698586196
Stage A,150,150,16QAM,45,64,15.0,12.0,0.0,0.036890894174575806,0.0006665057735517621,0.0,0.0,43.53386688232422,0.011565962806344032,0.0,0.0,0.03809870779514313,0.0006598582840524614,0.0,0.0,43.54640579223633,0.01253251451998949,0.0,0.0,0.0003941211325582117,43.54640579223633,0.5271168330218643
Stage A,175,175,16QAM,45,64,15.0,12.0,0.0,0.03633574768900871,0.0006450311047956347,0.0,0.0,43.56154251098633,0.011127956211566925,0.0,0.0,0.038171086460351944,0.0006433570524677634,0.0,0.0,43.56159210205078,0.012597545981407166,0.0,0.0,0.0003816388198174536,43.56159210205078,0.6082653329940513
Stage A,200,200,16QAM,45,64,15.0,12.0,0.0,0.03689975291490555,0.0006515150889754295,0.0,0.0,43.56243896484375,0.01157361175864935,0.0,0.0,0.03823496773838997,0.0006522515323013067,0.0,0.0,43.55552673339844,0.012643961235880852,0.0,0.0,0.00038922380190342665,43.55552673339844,0.6860182919772342
Stage A,225,225,16QAM,45,64,15.0,12.0,0.0,0.03703312575817108,0.000668683962430805,0.0,0.0,43.557777404785156,0.011668441817164421,0.0,0.0,0.03841514140367508,0.0006689037545584142,0.0,0.0,43.5584716796875,0.012773602269589901,0.0,0.0,0.0004082861705683172,43.5584716796875,0.7644827499752864
