method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.05,0.03236931694878472,0.12731051974826385,0.2511573676019907,190922,5898240,,,,,Learned Basis,0.05,8.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.05,0.02267829047309028,0.08999837239583335,0.23776326514780521,133762,5898240,,,,,Classical OFDM,0.05,10.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.05,0.02002902560763889,0.07951727973090279,0.22144667385146022,118136,5898240,,,,,Learned Basis,0.05,10.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.05,0.013434516059027778,0.053592258029513895,0.21740106353536248,79240,5898240,,,,,Classical OFDM,0.05,12.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.05,0.012831624348958333,0.05119561089409721,0.20036866096779704,75684,5898240,,,,,Learned Basis,0.05,12.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.05,0.007902357313368056,0.031578911675347224,0.20365723315626383,46610,5898240,,,,,Classical OFDM,0.05,14.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.05,0.008503553602430556,0.033991156684027767,0.18587267538532615,50156,5898240,,,,,Learned Basis,0.05,14.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.05,0.004651557074652778,0.01860215928819444,0.1943902987986803,27436,5898240,,,,,Classical OFDM,0.05,16.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.05,0.00586395263671875,0.02345241970486111,0.1761043220758438,34587,5898240,,,,,Learned Basis,0.05,16.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.05,0.0028115166558159723,0.011244032118055552,0.1882742685265839,16583,5898240,,,,,Classical OFDM,0.05,18.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.05,0.00409698486328125,0.016387939453125,0.16962034301832318,24165,5898240,,,,,Learned Basis,0.05,18.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.05,0.0017913818359375,0.007164849175347224,0.18441378651186824,10566,5898240,,,,,Classical OFDM,0.05,20.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.05,0.0029946221245659723,0.011978488498263891,0.16541640227660537,17663,5898240,,,,,Learned Basis,0.05,20.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.19471079508463543,0.6272637261284723,0.611795337870717,1148451,5898240,,,,,Classical OFDM,0.1,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.18384433322482638,0.5995944552951389,0.5818228833377361,1084358,5898240,,,,,Learned Basis,0.1,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.16702236599392362,0.5727064344618054,0.531267249956727,985138,5898240,,,,,Classical OFDM,0.1,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.15326911078559027,0.5302802191840277,0.5001892261207104,904018,5898240,,,,,Learned Basis,0.1,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.1461700439453125,0.5244723849826389,0.47295050881803036,862146,5898240,,,,,Classical OFDM,0.1,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.12784033881293402,0.46158175998263884,0.44018788635730743,754033,5898240,,,,,Learned Basis,0.1,4.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.1,0.13076900906032987,0.48342285156250003,0.4323219321668148,771307,5898240,,,,,Classical OFDM,0.1,6.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.1,0.10910559760199653,0.40374213324652786,0.39806440006941557,643531,5898240,,,,,Learned Basis,0.1,6.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.1,0.120068359375,0.45267266167534725,0.4046544171869755,708192,5898240,,,,,Classical OFDM,0.1,8.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.1,0.09618598090277777,0.3606682671440973,0.36912445072084665,567328,5898240,,,,,Learned Basis,0.1,8.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.1,0.11243438720703125,0.42913343641493057,0.3860636530444026,663165,5898240,,,,,Classical OFDM,0.1,10.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.1,0.08787316216362848,0.33147854275173605,0.34937568474560976,518297,5898240,,,,,Learned Basis,0.1,10.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.1,0.1074461195203993,0.4135871039496528,0.3739339476451278,633743,5898240,,,,,Classical OFDM,0.1,12.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.1,0.08325025770399305,0.3153951009114584,0.3362959874793887,491030,5898240,,,,,Learned Basis,0.1,12.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.1,0.10413581000434027,0.40310872395833325,0.36630241852253675,614218,5898240,,,,,Classical OFDM,0.1,14.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.1,0.0805906507703993,0.30654432508680557,0.32805194053798914,475343,5898240,,,,,Learned Basis,0.1,14.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.1,0.10167592366536458,0.3947638617621528,0.36094265431165695,599709,5898240,,,,,Classical OFDM,0.1,16.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.1,0.07910630967881944,0.3018161349826389,0.3224777653813362,466588,5898240,,,,,Learned Basis,0.1,16.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.1,0.1002044677734375,0.39015570746527767,0.35781180113554,591030,5898240,,,,,Classical OFDM,0.1,18.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.1,0.07805548773871528,0.29893188476562504,0.31892815325409174,460390,5898240,,,,,Learned Basis,0.1,18.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.1,0.09920772976345486,0.3867289225260418,0.35583358630537987,585151,5898240,,,,,Classical OFDM,0.1,20.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.1,0.07746209038628472,0.29781697591145834,0.31673279218375683,456890,5898240,,,,,Learned Basis,0.1,20.0
