method,method_label,eps,integrated_log10_ber_vs_snr,ber_at_lowest_snr,ber_at_highest_snr
OFDM,Classical OFDM,0.0,-53.06435967628453,0.027213541666666667,0.0
Learned,Learned Basis,0.0,-51.16207100629972,0.029296875,0.0
LearnedNonlinear,Learned + Nonlinear RX,0.0,-50.58350944656745,0.029231770833333334,0.0
OFDM,Classical OFDM,0.05,-22.53472657792804,0.05855034722222222,0.0028862847222222224
Learned,Learned Basis,0.05,-19.846466060883202,0.0603515625,0.010481770833333333
LearnedNonlinear,Learned + Nonlinear RX,0.05,-19.86004596269811,0.06013454861111111,0.010503472222222223
OFDM,Classical OFDM,0.1,-11.399558192309904,0.13120659722222222,0.10271267361111111
Learned,Learned Basis,0.1,-11.690567361172334,0.12690972222222222,0.09720052083333333
LearnedNonlinear,Learned + Nonlinear RX,0.1,-11.691755600281875,0.12680121527777777,0.0970703125
