method,method_label,papr_mean_db,papr_p95_db,papr_max_db
OFDM,Classical OFDM,6.656989574432373,8.361289024353027,9.918607711791992
Learned,Learned Basis,5.266153335571289,6.627991676330566,7.547725677490234
LearnedNonlinear,Learned + Nonlinear RX,5.266156196594238,6.6280012130737305,7.547728538513184
