method,method_label,papr_mean_db,papr_p95_db,papr_max_db
OFDM,Classical OFDM,6.383359909057617,7.8113884925842285,8.21076488494873
Learned,Learned Basis,5.323456764221191,6.797677040100098,7.744968414306641
LearnedNonlinear,Learned + Nonlinear RX,5.323454856872559,6.797675132751465,7.744984149932861
