method,method_label,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,stage_failed,failed_stage,stop_reason,clean_identity_loss,clean_offdiag_leakage,clean_nearest_neighbor_leakage,receiver_fro_norm_sq,integrated_log10_ber,integrated_offdiag_leakage,integrated_nearest_neighbor_leakage,small_mid_integrated_offdiag_leakage,small_mid_integrated_nearest_neighbor_leakage,ber_at_0,ber_at_0p05,ber_at_0p10,evm_at_0,evm_at_0p05,evm_at_0p10,pilot_symbol_mse_at_0p10,cfo_est_mae_at_0p10,robust_window_ber_le_0.01,robust_window_ber_le_0.1
OFDM,Classical OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,False,,Fixed baseline.,2.7579010256073566e-11,0.0,1.2562809950308895e-12,45.0,-0.6565286665277428,0.008993625082075596,0.005847668834093442,8.499632345742694e-19,5.426241228838272e-19,8.680555555555556e-05,0.10442708333333334,0.10442708333333334,0.1260369699448347,0.37136759608983994,0.37136759608983994,,,0.0,0.0
Learned,Learned Basis,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,False,,Completed Stage 2 nonlinear-only receiver training.,0.0021679711062461138,0.0021429164335131645,9.187818795908242e-05,44.690834045410156,-0.5755584877883685,0.0005699233734048903,3.690819576149807e-05,7.281351046051792e-20,4.341040219607238e-21,0.0006944444444444445,0.10147569444444444,0.10147569444444444,0.13246718421578407,0.378563292324543,0.378563292324543,,,0.0,0.0
LearnedNonlinear,Learned + Nonlinear RX,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,False,,Completed Stage 2 nonlinear-only receiver training.,,,,,-0.5743262492643886,,,,,0.0006944444444444445,0.10217013888888889,0.10217013888888889,0.13249024376273155,0.3785943165421486,0.3785943165421486,,,0.0,0.0
