method,method_label,papr_mean_db,papr_p95_db,papr_max_db
OFDM,Classical OFDM,6.651798248291016,8.26358699798584,9.86764907836914
Learned,Learned Basis,5.575543403625488,7.0780510902404785,8.294508934020996
LearnedNonlinear,Learned + Nonlinear RX,5.575542449951172,7.078065395355225,8.294495582580566
