method,method_label,eps,integrated_log10_ber_vs_snr,ber_at_lowest_snr,ber_at_highest_snr
OFDM,Classical OFDM,0.0,0.0,0.0001421841708096591,0.0001421841708096591
Learned,Learned Basis,0.0,0.0,0.00019108165394176137,0.00019108165394176137
LearnedNonlinear,Learned + Nonlinear RX,0.0,0.0,0.0001839724454012784,0.0001839724454012784
OFDM,Classical OFDM,0.05,0.0,0.013482874090021307,0.013482874090021307
Learned,Learned Basis,0.05,0.0,0.011583848433061079,0.011583848433061079
LearnedNonlinear,Learned + Nonlinear RX,0.05,0.0,0.011522293090820312,0.011522293090820312
OFDM,Classical OFDM,0.1,0.0,0.10750510475852272,0.10750510475852272
Learned,Learned Basis,0.1,0.0,0.08003148165616122,0.08003148165616122
LearnedNonlinear,Learned + Nonlinear RX,0.1,0.0,0.07998154380104759,0.07998154380104759
