method,method_label,occupied_bandwidth_fraction,occupied_bandwidth,nominal_ofdm_bandwidth,out_of_band_power_ratio
OFDM,Classical OFDM,0.99,0.701904296875,0.78125,0.00396806298200425
Learned,Learned Basis,0.99,0.795166015625,0.78125,0.019181485038848423
LearnedNonlinear,Learned + Nonlinear RX,0.99,0.795166015625,0.78125,0.019181456615193104
