method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.0001421841708096591,0.0005687366832386364,0.1256867633201182,820,5767168,,,,,Classical OFDM,0.0,12.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.00019108165394176137,0.0007643266157670456,0.126559030264616,1102,5767168,,,,,Learned Basis,0.0,12.0
LearnedNonlinear,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.0001839724454012784,0.0007358897816051136,0.12656025728210807,1061,5767168,,,,,Learned + Nonlinear RX,0.0,12.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.05,0.013482874090021307,0.05377613414417612,0.2174207977950573,77758,5767168,,,,,Classical OFDM,0.05,12.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.05,0.011583848433061079,0.04624869606711648,0.19713941682130098,66806,5767168,,,,,Learned Basis,0.05,12.0
LearnedNonlinear,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.05,0.011522293090820312,0.04599970037286932,0.1971363122574985,66451,5767168,,,,,Learned + Nonlinear RX,0.05,12.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.1,0.10750510475852272,0.4139882867986505,0.3741082726046443,620000,5767168,,,,,Classical OFDM,0.1,12.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.1,0.08003148165616122,0.3048671375621448,0.32970373425632715,461555,5767168,,,,,Learned Basis,0.1,12.0
LearnedNonlinear,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.1,0.07998154380104759,0.30457791415127833,0.32970494125038385,461267,5767168,,,,,Learned + Nonlinear RX,0.1,12.0
