method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,4.0,0.05,0.0789321552623402,0.2953553633256392,0.34569554310292006,455215,5767168,,,,,Learned Basis,0.05,4.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.05,0.05721439014781605,0.22025645862926138,0.3069473709911108,329965,5767168,,,,,Classical OFDM,0.05,6.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.05,0.05090401389382102,0.19659493186257102,0.2900075130164623,293572,5767168,,,,,Learned Basis,0.05,6.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.05,0.0368331562389027,0.14467274058948867,0.2665769373998046,212423,5767168,,,,,Classical OFDM,0.05,8.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.05,0.031055277044122868,0.12223677201704547,0.24860103894025087,179101,5767168,,,,,Learned Basis,0.05,8.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.05,0.022761084816672585,0.09034451571377841,0.23768072482198477,131267,5767168,,,,,Classical OFDM,0.05,10.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.05,0.01868438720703125,0.07424094460227272,0.21856133081018925,107756,5767168,,,,,Learned Basis,0.05,10.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.05,0.013432762839577415,0.05358956076882102,0.2173904050141573,77469,5767168,,,,,Classical OFDM,0.05,12.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.05,0.011467500166459517,0.04576526988636363,0.19709614105522633,66135,5767168,,,,,Learned Basis,0.05,12.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,14.0,0.05,0.007920351895419035,0.03165643865411933,0.20366806397214532,45678,5767168,,,,,Classical OFDM,0.05,14.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,14.0,0.05,0.0072508725253018465,0.028994473544034085,0.1823123935610056,41817,5767168,,,,,Learned Basis,0.05,14.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,16.0,0.05,0.004584225741299716,0.018331354314630687,0.19433206133544445,26438,5767168,,,,,Classical OFDM,0.05,16.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,16.0,0.05,0.0046988400545987215,0.018793973055752842,0.17230865731835365,27099,5767168,,,,,Learned Basis,0.05,16.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,18.0,0.05,0.0028036290949041195,0.011214516379616478,0.18809837335720658,16169,5767168,,,,,Classical OFDM,0.05,18.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,18.0,0.05,0.0030630285089666195,0.012252114035866476,0.16582317184656858,17665,5767168,,,,,Learned Basis,0.05,18.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,20.0,0.05,0.0018017508766867898,0.00720700350674716,0.18429944152012467,10391,5767168,,,,,Classical OFDM,0.05,20.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,20.0,0.05,0.0020110390403053975,0.00804415616122159,0.1615889249369502,11598,5767168,,,,,Learned Basis,0.05,20.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,0.0,0.1,0.19453534212979404,0.6263725974343041,0.61157869361341,1121918,5767168,,,,,Classical OFDM,0.1,0.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,0.0,0.1,0.18225236372514206,0.5956663651899858,0.577680230140686,1051080,5767168,,,,,Learned Basis,0.1,0.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,2.0,0.1,0.16701004721901633,0.5726547241210939,0.5308182202279568,963175,5767168,,,,,Classical OFDM,0.1,2.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,2.0,0.1,0.1512541337446733,0.5248260498046876,0.4958462258800864,872308,5767168,,,,,Learned Basis,0.1,2.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,4.0,0.1,0.14611088145862927,0.5243370749733665,0.47288789600133896,842646,5767168,,,,,Classical OFDM,0.1,4.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,4.0,0.1,0.12595922296697443,0.45599157159978687,0.43542561307549477,726428,5767168,,,,,Learned Basis,0.1,4.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.1,0.1309282129461115,0.48421478271484386,0.43205271009355783,755085,5767168,,,,,Classical OFDM,0.1,6.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.1,0.10651623119007457,0.3956042203036222,0.39251275546848774,614297,5767168,,,,,Learned Basis,0.1,6.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.1,0.11997725746848366,0.45233570445667604,0.4043776886537671,691929,5767168,,,,,Classical OFDM,0.1,8.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.1,0.09341101212935014,0.3515756780450995,0.36323394160717726,538717,5767168,,,,,Learned Basis,0.1,8.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.1,0.11247080022638495,0.42931920831853687,0.38602081313729286,648638,5767168,,,,,Classical OFDM,0.1,10.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.1,0.08497255498712714,0.32212205366654834,0.3429398136213422,490051,5767168,,,,,Learned Basis,0.1,10.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.1,0.1073197451504794,0.41325309059836646,0.37384425196796656,618931,5767168,,,,,Classical OFDM,0.1,12.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.1,0.0802444111217152,0.3057292591441762,0.33005350548774004,462783,5767168,,,,,Learned Basis,0.1,12.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,14.0,0.1,0.1038908524946733,0.4022577459161932,0.36591315641999245,599156,5767168,,,,,Classical OFDM,0.1,14.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,14.0,0.1,0.07746384360573509,0.296569130637429,0.32129024900496006,446747,5767168,,,,,Learned Basis,0.1,14.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,16.0,0.1,0.10157116976651279,0.39454165371981537,0.36080711614340544,585778,5767168,,,,,Classical OFDM,0.1,16.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,16.0,0.1,0.07587224786931818,0.29191034490411927,0.31575125828385353,437568,5767168,,,,,Learned Basis,0.1,16.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,18.0,0.1,0.10029896822842685,0.39054385098544037,0.3578183874487877,578441,5767168,,,,,Classical OFDM,0.1,18.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,18.0,0.1,0.07469905506480824,0.2886879660866478,0.3119894443079829,430802,5767168,,,,,Learned Basis,0.1,18.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,20.0,0.1,0.09926518526944247,0.38697329434481537,0.3557608909904957,572479,5767168,,,,,Classical OFDM,0.1,20.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,20.0,0.1,0.0743302431973544,0.28832175514914776,0.3098780671134591,428675,5767168,,,,,Learned Basis,0.1,20.0
