method,method_label,papr_db
OFDM,Classical OFDM,8.089671
OFDM,Classical OFDM,6.108916
OFDM,Classical OFDM,7.004604
OFDM,Classical OFDM,5.488573
OFDM,Classical OFDM,5.6501794
OFDM,Classical OFDM,5.9626794
OFDM,Classical OFDM,6.235311
OFDM,Classical OFDM,8.3041115
OFDM,Classical OFDM,5.7194986
OFDM,Classical OFDM,7.4113617
OFDM,Classical OFDM,7.0603156
OFDM,Classical OFDM,5.343337
OFDM,Classical OFDM,8.328936
OFDM,Classical OFDM,7.046315
OFDM,Classical OFDM,5.668768
OFDM,Classical OFDM,5.4957237
OFDM,Classical OFDM,7.5070148
OFDM,Classical OFDM,6.4228606
OFDM,Classical OFDM,9.723897
OFDM,Classical OFDM,5.4408665
OFDM,Classical OFDM,5.313944
OFDM,Classical OFDM,8.7091465
OFDM,Classical OFDM,6.516511
OFDM,Classical OFDM,6.7707872
OFDM,Classical OFDM,5.488265
OFDM,Classical OFDM,6.906967
OFDM,Classical OFDM,8.208045
OFDM,Classical OFDM,7.3646297
OFDM,Classical OFDM,6.0827675
OFDM,Classical OFDM,6.626353
OFDM,Classical OFDM,7.275056
OFDM,Classical OFDM,5.8120956
OFDM,Classical OFDM,8.709944
OFDM,Classical OFDM,4.5775466
OFDM,Classical OFDM,6.2954526
OFDM,Classical OFDM,8.704057
OFDM,Classical OFDM,7.105603
OFDM,Classical OFDM,6.283893
OFDM,Classical OFDM,5.666421
OFDM,Classical OFDM,5.5269
OFDM,Classical OFDM,6.3163114
OFDM,Classical OFDM,6.906614
OFDM,Classical OFDM,4.3396907
OFDM,Classical OFDM,8.2041235
OFDM,Classical OFDM,7.0352497
OFDM,Classical OFDM,5.2841706
OFDM,Classical OFDM,6.0981255
OFDM,Classical OFDM,5.2517586
OFDM,Classical OFDM,6.527067
OFDM,Classical OFDM,7.5613713
OFDM,Classical OFDM,5.520664
OFDM,Classical OFDM,9.125833
OFDM,Classical OFDM,5.8137302
OFDM,Classical OFDM,6.44424
OFDM,Classical OFDM,8.236256
OFDM,Classical OFDM,6.9295053
OFDM,Classical OFDM,6.224999
OFDM,Classical OFDM,5.6995745
OFDM,Classical OFDM,6.9355583
OFDM,Classical OFDM,6.0014105
OFDM,Classical OFDM,6.112155
OFDM,Classical OFDM,7.8184853
OFDM,Classical OFDM,7.417025
OFDM,Classical OFDM,6.6667266
OFDM,Classical OFDM,7.494845
OFDM,Classical OFDM,5.2673035
OFDM,Classical OFDM,7.70623
OFDM,Classical OFDM,5.778594
OFDM,Classical OFDM,7.0629435
OFDM,Classical OFDM,6.589925
OFDM,Classical OFDM,6.4961953
OFDM,Classical OFDM,6.2012424
OFDM,Classical OFDM,6.8607235
OFDM,Classical OFDM,5.4299316
OFDM,Classical OFDM,7.726239
OFDM,Classical OFDM,8.310109
OFDM,Classical OFDM,5.4395003
OFDM,Classical OFDM,6.233406
OFDM,Classical OFDM,5.797863
OFDM,Classical OFDM,8.823223
OFDM,Classical OFDM,6.3604856
OFDM,Classical OFDM,6.9808874
OFDM,Classical OFDM,6.39636
OFDM,Classical OFDM,7.284259
OFDM,Classical OFDM,6.813953
OFDM,Classical OFDM,8.05935
OFDM,Classical OFDM,7.2826147
OFDM,Classical OFDM,5.9111214
OFDM,Classical OFDM,5.009472
OFDM,Classical OFDM,7.243543
OFDM,Classical OFDM,7.0572276
OFDM,Classical OFDM,6.1551676
OFDM,Classical OFDM,6.051025
OFDM,Classical OFDM,5.926505
OFDM,Classical OFDM,4.674285
OFDM,Classical OFDM,6.8400326
OFDM,Classical OFDM,7.6327553
OFDM,Classical OFDM,6.0013537
OFDM,Classical OFDM,5.7506394
OFDM,Classical OFDM,4.843465
OFDM,Classical OFDM,4.488125
OFDM,Classical OFDM,5.64645
OFDM,Classical OFDM,5.9708333
OFDM,Classical OFDM,8.245882
OFDM,Classical OFDM,5.7729053
OFDM,Classical OFDM,7.026978
OFDM,Classical OFDM,6.0566406
OFDM,Classical OFDM,7.252837
OFDM,Classical OFDM,8.282555
OFDM,Classical OFDM,5.662852
OFDM,Classical OFDM,7.2744846
OFDM,Classical OFDM,6.1544943
OFDM,Classical OFDM,5.166326
OFDM,Classical OFDM,7.0983973
OFDM,Classical OFDM,6.8905044
OFDM,Classical OFDM,6.2041836
OFDM,Classical OFDM,5.3723583
OFDM,Classical OFDM,7.576761
OFDM,Classical OFDM,4.984989
OFDM,Classical OFDM,8.117706
OFDM,Classical OFDM,6.500077
OFDM,Classical OFDM,5.1878448
OFDM,Classical OFDM,6.3569727
OFDM,Classical OFDM,6.578742
OFDM,Classical OFDM,7.2335978
OFDM,Classical OFDM,5.0359144
OFDM,Classical OFDM,6.245663
OFDM,Classical OFDM,7.563656
OFDM,Classical OFDM,5.707494
OFDM,Classical OFDM,7.660001
OFDM,Classical OFDM,5.571636
OFDM,Classical OFDM,6.8410354
OFDM,Classical OFDM,6.247492
OFDM,Classical OFDM,6.5954895
OFDM,Classical OFDM,6.246695
OFDM,Classical OFDM,6.573024
OFDM,Classical OFDM,7.1943808
OFDM,Classical OFDM,5.4515543
OFDM,Classical OFDM,6.286501
OFDM,Classical OFDM,5.399876
OFDM,Classical OFDM,6.003503
OFDM,Classical OFDM,6.567444
OFDM,Classical OFDM,7.193387
OFDM,Classical OFDM,7.059562
OFDM,Classical OFDM,7.6034374
OFDM,Classical OFDM,7.9250574
OFDM,Classical OFDM,6.460416
OFDM,Classical OFDM,5.9291673
OFDM,Classical OFDM,7.3977737
OFDM,Classical OFDM,5.343516
OFDM,Classical OFDM,6.861989
OFDM,Classical OFDM,8.682809
OFDM,Classical OFDM,6.1621437
OFDM,Classical OFDM,7.577808
OFDM,Classical OFDM,5.8044167
OFDM,Classical OFDM,4.830872
OFDM,Classical OFDM,7.087119
OFDM,Classical OFDM,7.374596
OFDM,Classical OFDM,7.8035555
OFDM,Classical OFDM,8.22473
OFDM,Classical OFDM,7.662359
OFDM,Classical OFDM,6.553609
OFDM,Classical OFDM,7.3783216
OFDM,Classical OFDM,7.0995
OFDM,Classical OFDM,5.8535438
OFDM,Classical OFDM,7.239509
OFDM,Classical OFDM,5.5115385
OFDM,Classical OFDM,7.149232
OFDM,Classical OFDM,5.702771
OFDM,Classical OFDM,5.2731
OFDM,Classical OFDM,6.978383
OFDM,Classical OFDM,6.5236325
OFDM,Classical OFDM,6.41447
OFDM,Classical OFDM,6.3648567
OFDM,Classical OFDM,5.6532507
OFDM,Classical OFDM,7.041094
OFDM,Classical OFDM,6.8214264
OFDM,Classical OFDM,6.6391234
OFDM,Classical OFDM,5.406886
OFDM,Classical OFDM,6.3408937
OFDM,Classical OFDM,7.431591
OFDM,Classical OFDM,8.502598
OFDM,Classical OFDM,6.031805
OFDM,Classical OFDM,6.4903173
OFDM,Classical OFDM,5.349536
OFDM,Classical OFDM,5.934595
OFDM,Classical OFDM,5.8281465
OFDM,Classical OFDM,7.7427697
OFDM,Classical OFDM,6.3066597
OFDM,Classical OFDM,7.9118896
OFDM,Classical OFDM,5.418928
OFDM,Classical OFDM,7.1910334
OFDM,Classical OFDM,7.184424
OFDM,Classical OFDM,6.020589
OFDM,Classical OFDM,6.566231
OFDM,Classical OFDM,8.277408
OFDM,Classical OFDM,7.0615954
OFDM,Classical OFDM,5.5521016
OFDM,Classical OFDM,7.4362392
OFDM,Classical OFDM,6.909937
OFDM,Classical OFDM,7.473467
OFDM,Classical OFDM,7.127611
OFDM,Classical OFDM,6.597248
OFDM,Classical OFDM,5.8649898
OFDM,Classical OFDM,5.7148895
OFDM,Classical OFDM,7.909547
OFDM,Classical OFDM,7.772048
OFDM,Classical OFDM,6.639984
OFDM,Classical OFDM,6.485141
OFDM,Classical OFDM,7.6625223
OFDM,Classical OFDM,5.913397
OFDM,Classical OFDM,5.8877897
OFDM,Classical OFDM,5.970171
OFDM,Classical OFDM,5.6818237
OFDM,Classical OFDM,8.712252
OFDM,Classical OFDM,6.3066363
OFDM,Classical OFDM,8.6562
OFDM,Classical OFDM,6.1286774
OFDM,Classical OFDM,6.701437
OFDM,Classical OFDM,8.415734
OFDM,Classical OFDM,7.031706
OFDM,Classical OFDM,8.065615
OFDM,Classical OFDM,5.078497
OFDM,Classical OFDM,6.088516
OFDM,Classical OFDM,8.595305
OFDM,Classical OFDM,8.066972
