method,method_label,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,stage_failed,failed_stage,stop_reason,clean_identity_loss,clean_offdiag_leakage,clean_nearest_neighbor_leakage,receiver_fro_norm_sq,integrated_log10_ber,integrated_offdiag_leakage,integrated_nearest_neighbor_leakage,small_mid_integrated_offdiag_leakage,small_mid_integrated_nearest_neighbor_leakage,ber_at_0,ber_at_0p05,ber_at_0p10,evm_at_0,evm_at_0p05,evm_at_0p10,pilot_symbol_mse_at_0p10,cfo_est_mae_at_0p10,robust_window_ber_le_0.01,robust_window_ber_le_0.1,stage1_acceptance_passed,stage1_acceptance_stop_reason,stage1_clean_identity_tol,stage1_clean_leakage_tol,stage1_zero_cfo_ber_upper_bound,stage1_failed_checks
OFDM,Classical OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,False,,Fixed baseline.,2.7512497488557663e-11,0.0,1.28400892349112e-12,44.0,-0.5708687891996584,0.008041191357478964,0.0052075817387295135,0.0017598768108291556,0.001123754824220669,0.0001314336603338068,0.013420451771129261,0.1072266318581321,0.12553614214994013,0.2173245307058096,0.3736943257972598,,,0.04,0.09,True,Completed all stages. Stage 1 acceptance passed.,0.001,0.001,0.0007628673206676136,
Learned,Learned Basis,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,False,,Completed all stages.,0.0008220357703976333,0.0003701669629663229,1.233187776961131e-05,42.370025634765625,-0.5998024010830401,0.00037346543933381327,0.00012619881414593695,0.00010084029345307502,2.7706498858606217e-05,0.00017668984153053978,0.011561653830788353,0.08006303960626776,0.12647592276334763,0.1971582705155015,0.3296106122434139,,,0.04,0.11,True,Completed all stages. Stage 1 acceptance passed.,0.001,0.001,0.0007628673206676136,
