method,method_label,eps,stream,diag_magnitude
Learned,Learned Basis,-0.18000000000000002,12,0.9804690480232239
Learned,Learned Basis,-0.18000000000000002,13,0.9810816049575806
Learned,Learned Basis,-0.18000000000000002,14,0.98106449842453
Learned,Learned Basis,-0.18000000000000002,15,0.9825296998023987
Learned,Learned Basis,-0.18000000000000002,16,0.9793124794960022
Learned,Learned Basis,-0.18000000000000002,17,0.9819746017456055
Learned,Learned Basis,-0.18000000000000002,18,0.9814218282699585
Learned,Learned Basis,-0.18000000000000002,19,0.9786263704299927
Learned,Learned Basis,-0.18000000000000002,20,0.9792526960372925
Learned,Learned Basis,-0.18000000000000002,21,0.968902051448822
Learned,Learned Basis,-0.18000000000000002,22,0.9413740634918213
Learned,Learned Basis,-0.18000000000000002,23,0.9412336945533752
Learned,Learned Basis,-0.18000000000000002,24,0.9583761692047119
Learned,Learned Basis,-0.18000000000000002,25,0.9702475070953369
Learned,Learned Basis,-0.18000000000000002,26,0.9501593708992004
Learned,Learned Basis,-0.18000000000000002,27,0.9510077834129333
Learned,Learned Basis,-0.18000000000000002,28,0.9500527381896973
Learned,Learned Basis,-0.18000000000000002,29,0.9665840268135071
Learned,Learned Basis,-0.18000000000000002,30,0.9704322814941406
Learned,Learned Basis,-0.18000000000000002,31,0.9674592614173889
Learned,Learned Basis,-0.18000000000000002,32,0.9707450270652771
Learned,Learned Basis,-0.18000000000000002,33,0.9718349575996399
Learned,Learned Basis,-0.18000000000000002,34,0.9760618209838867
Learned,Learned Basis,-0.18000000000000002,35,0.9749118685722351
Learned,Learned Basis,-0.18000000000000002,36,0.9739664793014526
Learned,Learned Basis,-0.18000000000000002,37,0.9753574728965759
Learned,Learned Basis,-0.18000000000000002,38,0.9749350547790527
Learned,Learned Basis,-0.18000000000000002,39,0.9765906929969788
Learned,Learned Basis,-0.18000000000000002,40,0.9776826500892639
Learned,Learned Basis,-0.18000000000000002,41,0.9755020141601562
Learned,Learned Basis,-0.18000000000000002,42,0.9765492677688599
Learned,Learned Basis,-0.18000000000000002,43,0.9775744080543518
Learned,Learned Basis,-0.17,0,0.9765715003013611
Learned,Learned Basis,-0.17,1,0.9772881865501404
Learned,Learned Basis,-0.17,2,0.980955183506012
Learned,Learned Basis,-0.17,3,0.9792100787162781
Learned,Learned Basis,-0.17,4,0.9801726937294006
Learned,Learned Basis,-0.17,5,0.9785590767860413
Learned,Learned Basis,-0.17,6,0.9777927994728088
Learned,Learned Basis,-0.17,7,0.982065737247467
Learned,Learned Basis,-0.17,8,0.9819775819778442
Learned,Learned Basis,-0.17,9,0.980847954750061
Learned,Learned Basis,-0.17,10,0.9820372462272644
Learned,Learned Basis,-0.17,11,0.9833902716636658
Learned,Learned Basis,-0.17,12,0.9806052446365356
Learned,Learned Basis,-0.17,13,0.9812164306640625
Learned,Learned Basis,-0.17,14,0.9812155961990356
Learned,Learned Basis,-0.17,15,0.9826883673667908
Learned,Learned Basis,-0.17,16,0.979495644569397
Learned,Learned Basis,-0.17,17,0.9821858406066895
Learned,Learned Basis,-0.17,18,0.9816476702690125
Learned,Learned Basis,-0.17,19,0.9789935350418091
Learned,Learned Basis,-0.17,20,0.9798102974891663
Learned,Learned Basis,-0.17,21,0.970093309879303
Learned,Learned Basis,-0.17,22,0.9453634023666382
Learned,Learned Basis,-0.17,23,0.9451528787612915
Learned,Learned Basis,-0.17,24,0.9605537056922913
Learned,Learned Basis,-0.17,25,0.9713317155838013
Learned,Learned Basis,-0.17,26,0.9524455070495605
Learned,Learned Basis,-0.17,27,0.9533427953720093
Learned,Learned Basis,-0.17,28,0.952725350856781
Learned,Learned Basis,-0.17,29,0.9670966863632202
Learned,Learned Basis,-0.17,30,0.970786988735199
Learned,Learned Basis,-0.17,31,0.9679833650588989
Learned,Learned Basis,-0.17,32,0.9711466431617737
Learned,Learned Basis,-0.17,33,0.9721252918243408
Learned,Learned Basis,-0.17,34,0.976254403591156
Learned,Learned Basis,-0.17,35,0.9751213788986206
Learned,Learned Basis,-0.17,36,0.9741601347923279
Learned,Learned Basis,-0.17,37,0.9755343794822693
Learned,Learned Basis,-0.17,38,0.9750947952270508
Learned,Learned Basis,-0.17,39,0.976735532283783
Learned,Learned Basis,-0.17,40,0.9778091907501221
Learned,Learned Basis,-0.17,41,0.9756559729576111
Learned,Learned Basis,-0.17,42,0.9766765236854553
Learned,Learned Basis,-0.17,43,0.9777055382728577
Learned,Learned Basis,-0.16,0,0.9766780734062195
Learned,Learned Basis,-0.16,1,0.9774121046066284
Learned,Learned Basis,-0.16,2,0.9810757637023926
Learned,Learned Basis,-0.16,3,0.9793193936347961
Learned,Learned Basis,-0.16,4,0.9802764654159546
Learned,Learned Basis,-0.16,5,0.9786711931228638
Learned,Learned Basis,-0.16,6,0.9779016375541687
Learned,Learned Basis,-0.16,7,0.9821798801422119
Learned,Learned Basis,-0.16,8,0.9820935130119324
Learned,Learned Basis,-0.16,9,0.9809698462486267
Learned,Learned Basis,-0.16,10,0.9821627736091614
Learned,Learned Basis,-0.16,11,0.9835050702095032
Learned,Learned Basis,-0.16,12,0.9807350635528564
Learned,Learned Basis,-0.16,13,0.9813451766967773
Learned,Learned Basis,-0.16,14,0.9813597202301025
Learned,Learned Basis,-0.16,15,0.9828399419784546
Learned,Learned Basis,-0.16,16,0.9796696901321411
Learned,Learned Basis,-0.16,17,0.9823876023292542
Learned,Learned Basis,-0.16,18,0.9818630814552307
Learned,Learned Basis,-0.16,19,0.9793450832366943
Learned,Learned Basis,-0.16,20,0.980344295501709
Learned,Learned Basis,-0.16,21,0.971236526966095
Learned,Learned Basis,-0.16,22,0.9491900205612183
Learned,Learned Basis,-0.16,23,0.9488945007324219
Learned,Learned Basis,-0.16,24,0.9626104235649109
Learned,Learned Basis,-0.16,25,0.9723538756370544
Learned,Learned Basis,-0.16,26,0.9546154737472534
Learned,Learned Basis,-0.16,27,0.9555556178092957
Learned,Learned Basis,-0.16,28,0.9552566409111023
Learned,Learned Basis,-0.16,29,0.9675866961479187
Learned,Learned Basis,-0.16,30,0.9711251854896545
Learned,Learned Basis,-0.16,31,0.9684816598892212
Learned,Learned Basis,-0.16,32,0.9715269804000854
Learned,Learned Basis,-0.16,33,0.972400963306427
Learned,Learned Basis,-0.16,34,0.9764375686645508
Learned,Learned Basis,-0.16,35,0.9753201603889465
Learned,Learned Basis,-0.16,36,0.9743438959121704
Learned,Learned Basis,-0.16,37,0.9757020473480225
Learned,Learned Basis,-0.16,38,0.9752457141876221
Learned,Learned Basis,-0.16,39,0.9768716096878052
Learned,Learned Basis,-0.16,40,0.9779289364814758
Learned,Learned Basis,-0.16,41,0.9758020639419556
Learned,Learned Basis,-0.16,42,0.9767966270446777
Learned,Learned Basis,-0.16,43,0.9778295755386353
Learned,Learned Basis,-0.15000000000000002,0,0.9767778515815735
Learned,Learned Basis,-0.15000000000000002,1,0.9775291085243225
Learned,Learned Basis,-0.15000000000000002,2,0.9811893701553345
Learned,Learned Basis,-0.15000000000000002,3,0.9794208407402039
Learned,Learned Basis,-0.15000000000000002,4,0.9803743958473206
Learned,Learned Basis,-0.15000000000000002,5,0.9787768721580505
Learned,Learned Basis,-0.15000000000000002,6,0.9780040979385376
Learned,Learned Basis,-0.15000000000000002,7,0.9822880029678345
Learned,Learned Basis,-0.15000000000000002,8,0.9822025299072266
Learned,Learned Basis,-0.15000000000000002,9,0.9810845255851746
Learned,Learned Basis,-0.15000000000000002,10,0.9822824001312256
Learned,Learned Basis,-0.15000000000000002,11,0.9836133718490601
Learned,Learned Basis,-0.15000000000000002,12,0.9808579683303833
Learned,Learned Basis,-0.15000000000000002,13,0.9814662933349609
Learned,Learned Basis,-0.15000000000000002,14,0.9814964532852173
Learned,Learned Basis,-0.15000000000000002,15,0.9829841256141663
Learned,Learned Basis,-0.15000000000000002,16,0.9798349142074585
Learned,Learned Basis,-0.15000000000000002,17,0.9825801849365234
Learned,Learned Basis,-0.15000000000000002,18,0.9820684790611267
Learned,Learned Basis,-0.15000000000000002,19,0.9796813130378723
Learned,Learned Basis,-0.15000000000000002,20,0.980853796005249
Learned,Learned Basis,-0.15000000000000002,21,0.9723289012908936
Learned,Learned Basis,-0.15000000000000002,22,0.9528434872627258
Learned,Learned Basis,-0.15000000000000002,23,0.9524518251419067
Learned,Learned Basis,-0.15000000000000002,24,0.9645451307296753
Learned,Learned Basis,-0.15000000000000002,25,0.9733130931854248
Learned,Learned Basis,-0.15000000000000002,26,0.9566661715507507
Learned,Learned Basis,-0.15000000000000002,27,0.9576444625854492
Learned,Learned Basis,-0.15000000000000002,28,0.9576447010040283
Learned,Learned Basis,-0.15000000000000002,29,0.9680536389350891
Learned,Learned Basis,-0.15000000000000002,30,0.9714471101760864
Learned,Learned Basis,-0.15000000000000002,31,0.9689533114433289
Learned,Learned Basis,-0.15000000000000002,32,0.971885621547699
Learned,Learned Basis,-0.15000000000000002,33,0.9726617932319641
Learned,Learned Basis,-0.15000000000000002,34,0.9766110777854919
Learned,Learned Basis,-0.15000000000000002,35,0.9755080342292786
Learned,Learned Basis,-0.15000000000000002,36,0.9745174646377563
Learned,Learned Basis,-0.15000000000000002,37,0.9758605360984802
Learned,Learned Basis,-0.15000000000000002,38,0.975387692451477
Learned,Learned Basis,-0.15000000000000002,39,0.9769991040229797
Learned,Learned Basis,-0.15000000000000002,40,0.9780413508415222
Learned,Learned Basis,-0.15000000000000002,41,0.9759396910667419
Learned,Learned Basis,-0.15000000000000002,42,0.9769089818000793
Learned,Learned Basis,-0.15000000000000002,43,0.9779463410377502
Learned,Learned Basis,-0.14,0,0.9768706560134888
Learned,Learned Basis,-0.14,1,0.9776396751403809
Learned,Learned Basis,-0.14,2,0.9812964200973511
Learned,Learned Basis,-0.14,3,0.979515016078949
Learned,Learned Basis,-0.14,4,0.9804666638374329
Learned,Learned Basis,-0.14,5,0.9788760542869568
Learned,Learned Basis,-0.14,6,0.9781004190444946
Learned,Learned Basis,-0.14,7,0.9823894500732422
Learned,Learned Basis,-0.14,8,0.9823051691055298
Learned,Learned Basis,-0.14,9,0.981192409992218
Learned,Learned Basis,-0.14,10,0.9823952317237854
Learned,Learned Basis,-0.14,11,0.9837149381637573
Learned,Learned Basis,-0.14,12,0.9809739589691162
Learned,Learned Basis,-0.14,13,0.981580376625061
Learned,Learned Basis,-0.14,14,0.9816260933876038
Learned,Learned Basis,-0.14,15,0.9831209182739258
Learned,Learned Basis,-0.14,16,0.9799903631210327
Learned,Learned Basis,-0.14,17,0.9827631115913391
Learned,Learned Basis,-0.14,18,0.9822624325752258
Learned,Learned Basis,-0.14,19,0.9799997806549072
Learned,Learned Basis,-0.14,20,0.9813361763954163
Learned,Learned Basis,-0.14,21,0.9733670353889465
Learned,Learned Basis,-0.14,22,0.9563137888908386
Learned,Learned Basis,-0.14,23,0.9558191299438477
Learned,Learned Basis,-0.14,24,0.9663563966751099
Learned,Learned Basis,-0.14,25,0.9742088317871094
Learned,Learned Basis,-0.14,26,0.9585954546928406
Learned,Learned Basis,-0.14,27,0.9596084356307983
Learned,Learned Basis,-0.14,28,0.9598872661590576
Learned,Learned Basis,-0.14,29,0.9684961438179016
Learned,Learned Basis,-0.14,30,0.9717514514923096
Learned,Learned Basis,-0.14,31,0.9693975448608398
Learned,Learned Basis,-0.14,32,0.9722220301628113
Learned,Learned Basis,-0.14,33,0.9729073643684387
Learned,Learned Basis,-0.14,34,0.9767744541168213
Learned,Learned Basis,-0.14,35,0.9756852388381958
Learned,Learned Basis,-0.14,36,0.9746807813644409
Learned,Learned Basis,-0.14,37,0.9760099053382874
Learned,Learned Basis,-0.14,38,0.9755204916000366
Learned,Learned Basis,-0.14,39,0.9771179556846619
Learned,Learned Basis,-0.14,40,0.9781468510627747
Learned,Learned Basis,-0.14,41,0.9760690927505493
Learned,Learned Basis,-0.14,42,0.9770145416259766
