method,method_label,eps,integrated_log10_ber_vs_snr,ber_at_lowest_snr,ber_at_highest_snr
OFDM,Classical OFDM,0.0,-76.5977108241205,0.14116512645374646,0.0
Learned,Learned Basis,0.0,-75.89694201972185,0.14149388399991122,0.0
OFDM,Classical OFDM,0.05,-33.921350321717526,0.15599354830655185,0.0018017508766867898
Learned,Learned Basis,0.05,-34.51021274814998,0.15261407331986862,0.0020110390403053975
OFDM,Classical OFDM,0.1,-18.33436257448512,0.19453534212979404,0.09926518526944247
Learned,Learned Basis,0.1,-20.360277941811972,0.18225236372514206,0.0743302431973544
