method,method_label,eps,integrated_log10_ber_vs_snr,ber_at_lowest_snr,ber_at_highest_snr
OFDM,Classical OFDM,0.0,-53.06435967628453,0.027213541666666667,0.0
Learned,Learned Basis,0.0,-51.16207100629972,0.029296875,0.0
LearnedNonlinear,Learned + Nonlinear RX,0.0,-49.87874177549341,0.029709201388888887,0.0
OFDM,Classical OFDM,0.05,-22.53472657792804,0.05855034722222222,0.0028862847222222224
Learned,Learned Basis,0.05,-19.846466060883202,0.0603515625,0.010481770833333333
LearnedNonlinear,Learned + Nonlinear RX,0.05,-20.0429196126831,0.060460069444444445,0.00920138888888889
OFDM,Classical OFDM,0.1,-11.399558192309904,0.13120659722222222,0.10271267361111111
Learned,Learned Basis,0.1,-11.690567361172334,0.12690972222222222,0.09720052083333333
LearnedNonlinear,Learned + Nonlinear RX,0.1,-11.737746953509244,0.12606336805555557,0.09563802083333334
