scheme,stage,global_epoch,stage_epoch,modulation,N,M,train_ebn0_db,eval_ebn0_db,cfo_span,train_total,train_Lce,train_Lmse,train_Lguard,train_Leps,train_Lhard,train_L0,train_Loff,train_Ldiag,train_LV,train_Lnn,train_Lspec,val_total,val_Lce,val_Lmse,val_Lguard,val_Leps,val_Lhard,val_L0,val_Loff,val_Ldiag,val_LV,val_Lnn,val_Lspec,clean_offdiag_leakage,rx_fro_norm_sq,val_ber,val_ser,hard_cfo_weighted_ber,residual_scale,cancellation_scale,eps_hat_mae,elapsed_s
LearnedNonlinear,NonlinearOnly,1,1,16QAM,45,64,15.0,12.0,0.1,4.282855987548828,2.0321693420410156,0.02790950983762741,0.10000000894069672,0.11937499046325684,2.187648057937622,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,4.347168922424316,2.0650787353515625,0.051215507090091705,0.0985461175441742,0.2875114679336548,2.20236873626709,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,0.001452931552194059,43.64590072631836,0.02543402835726738,0.09756944328546524,0.07078558206558228,0.09999999403953552,0.09999999403953552,0.045201376080513,0.7552867910126224
LearnedNonlinear,NonlinearOnly,10,10,16QAM,45,64,15.0,12.0,0.1,4.284542083740234,2.038027763366699,0.03320860117673874,0.07854747772216797,0.15990787744522095,2.1847329139709473,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,4.3325114250183105,2.0650837421417236,0.05153242126107216,0.07408583164215088,0.28676196932792664,2.1938929557800293,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,0.001452931552194059,43.64590072631836,0.02508680522441864,0.0972222238779068,0.07148870825767517,0.10081129521131516,0.10080394148826599,0.04512898996472359,4.075281625031494
LearnedNonlinear,NonlinearOnly,20,20,16QAM,45,64,15.0,12.0,0.1,4.249826908111572,2.036515235900879,0.03561152145266533,0.0032239381689578295,0.16271719336509705,2.170055866241455,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,4.268941879272461,2.0499517917633057,0.053308796137571335,0.0009507071226835251,0.287059485912323,2.163691520690918,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,0.001452931552194059,43.64590072631836,0.02968749962747097,0.1163194477558136,0.0732964351773262,0.10188984125852585,0.10187336802482605,0.04516119882464409,7.623411541106179
LearnedNonlinear,NonlinearOnly,30,30,16QAM,45,64,15.0,12.0,0.1,4.160016059875488,1.9934287071228027,0.032945889979600906,0.00041780760511755943,0.13638387620449066,2.1266930103302,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,4.17695951461792,2.0036118030548096,0.056665219366550446,0.0001447535614715889,0.2867628037929535,2.1182467937469482,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,0.001452931552194059,43.64590072631836,0.06788194179534912,0.25312501192092896,0.10748914629220963,0.10307341068983078,0.10310531407594681,0.04513084888458252,11.393198583042249
LearnedNonlinear,NonlinearOnly,40,40,16QAM,45,64,15.0,12.0,0.1,4.044937610626221,1.934269666671753,0.05451683700084686,0.004007542505860329,0.11997178941965103,2.0713019371032715,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,4.030152320861816,1.923110842704773,0.08662722259759903,0.0093431631103158,0.2868039011955261,2.049337387084961,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,0.001452931552194059,43.64590072631836,0.12699653208255768,0.4270833432674408,0.15318575501441956,0.1043071299791336,0.10452146828174591,0.04512921720743179,15.01527375006117
LearnedNonlinear,NonlinearOnly,50,50,16QAM,45,64,15.0,12.0,0.1,3.683253049850464,1.7415647506713867,0.08554970473051071,0.003945040982216597,0.21247103810310364,1.8927780389785767,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,3.7290918827056885,1.7698724269866943,0.11063443869352341,0.0007775668054819107,0.2865566611289978,1.9034416675567627,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,0.001452931552194059,43.64590072631836,0.17300346493721008,0.535069465637207,0.1896723061800003,0.10524135828018188,0.10478920489549637,0.04509882628917694,18.547336791059934
LearnedNonlinear,ReopenV,51,1,16QAM,45,64,15.0,12.0,0.1,4.293632507324219,2.0373356342315674,0.03210669010877609,0.09855733811855316,0.15521541237831116,2.189993143081665,0.0016871170373633504,0.0014811931177973747,0.004535644315183163,43.64590072631836,0.0001474570599384606,0.0,4.337595462799072,2.0622200965881348,0.04883899539709091,0.09776293486356735,0.2872750759124756,2.195903778076172,0.0016536484472453594,0.001472241710871458,0.004541801288723946,43.71429443359375,0.00014682550681754947,0.0,0.0014413510216400027,43.71429443359375,0.02369791641831398,0.0920138880610466,0.0713997408747673,0.10005000233650208,0.10005000233650208,0.04517926648259163,0.631458125077188
LearnedNonlinear,ReopenV,60,10,16QAM,45,64,15.0,12.0,0.1,4.298312187194824,2.0398168563842773,0.03709118440747261,0.08889506012201309,0.18421098589897156,2.19148325920105,0.0015334577765315771,0.0015001514693722129,0.004594388417899609,44.25326919555664,0.00014466969878412783,0.0,4.323877334594727,2.056037187576294,0.0497390478849411,0.08734720945358276,0.2870563268661499,2.1907782554626465,0.001522147678770125,0.0015021308790892363,0.00460088113322854,44.31972885131836,0.00014505299623124301,0.0,0.001449346775189042,44.31972885131836,0.02465277723968029,0.09513889253139496,0.07096787542104721,0.10049194097518921,0.10049033164978027,0.04515848308801651,3.9807266250718385
LearnedNonlinear,ReopenV,70,20,16QAM,45,64,15.0,12.0,0.1,4.266255855560303,2.0304179191589355,0.0346081480383873,0.06643237173557281,0.17051541805267334,2.175649881362915,0.001414494588971138,0.001464970177039504,0.004659443628042936,44.91535186767578,0.00013954166206531227,0.0,4.300322532653809,2.0488839149475098,0.050875406712293625,0.062023013830184937,0.28669872879981995,2.180553913116455,0.00140477588865906,0.0014578315895050764,0.004665779881179333,44.98101806640625,0.00013921155186835676,0.0,0.0013811163371428847,44.98101806640625,0.02465277723968029,0.09409721940755844,0.0704730898141861,0.10103073716163635,0.10102999210357666,0.04512261599302292,7.579199583036825
LearnedNonlinear,ReopenV,80,30,16QAM,45,64,15.0,12.0,0.1,4.226273059844971,2.028667449951172,0.02994488924741745,0.009318490512669086,0.13754969835281372,2.154862403869629,0.0013451792765408754,0.001375742955133319,0.004721691366285086,45.56220626831055,0.0001317457645200193,0.0,4.253875255584717,2.040275812149048,0.0502886138856411,0.003303264733403921,0.28729182481765747,2.1571595668792725,0.0013435286236926913,0.0013665517326444387,0.0047279344871640205,45.625885009765625,0.00013121079246047884,0.0,0.0012689476134255528,45.625885009765625,0.02543402835726738,0.0989583358168602,0.0724305585026741,0.1016295850276947,0.1016426682472229,0.045180320739746094,10.757640000083484
LearnedNonlinear,ReopenV,85,35,16QAM,45,64,15.0,12.0,0.1,4.238879203796387,2.034343957901001,0.03569191321730614,0.0005968540790490806,0.1617463082075119,2.161369800567627,0.0013489611446857452,0.001332780229859054,0.004752598237246275,45.87610626220703,0.00012913407408632338,0.0,4.244964599609375,2.0375235080718994,0.0516187809407711,0.0013100940268486738,0.28741371631622314,2.1513447761535645,0.00135250564198941,0.0013244821457192302,0.004758622497320175,45.93738555908203,0.00012855109525844455,0.0,0.001218052115291357,45.93738555908203,0.03012152761220932,0.11666666716337204,0.076655812561512,0.10195591300725937,0.101982481777668,0.04519102722406387,12.235287333023734
