scheme,stage,global_epoch,stage_epoch,modulation,N,M,train_ebn0_db,eval_ebn0_db,cfo_span,train_total,train_Lce,train_Lmse,train_L0,train_Loff,train_Ldiag,train_LV,train_Lnn,train_Lspec,val_total,val_Lce,val_Lmse,val_L0,val_Loff,val_Ldiag,val_LV,val_Lnn,val_Lspec,clean_offdiag_leakage,rx_fro_norm_sq,val_ber,val_ser,hard_cfo_weighted_ber,residual_scale,elapsed_s
LearnedNonlinear,Warmstart,1,1,16QAM,45,64,15.0,12.0,0.1,2.023613214492798,1.9957383871078491,0.031582728028297424,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,2.0346970558166504,2.0066018104553223,0.053620487451553345,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.02812499925494194,0.10625000298023224,0.07063259184360504,0.09999999403953552,0.06892912497278303
LearnedNonlinear,Warmstart,25,25,16QAM,45,64,15.0,12.0,0.1,1.9499621391296387,1.9220407009124756,0.03621790185570717,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.9602490663528442,1.932153344154358,0.053644195199012756,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.06202257052063942,0.24010416865348816,0.09949436038732529,0.10251998156309128,0.23066316696349531
LearnedNonlinear,Warmstart,50,50,16QAM,45,64,15.0,12.0,0.1,1.859500527381897,1.831565260887146,0.037597883492708206,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.8686386346817017,1.8405216932296753,0.05576726421713829,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.0972222238779068,0.3635416626930237,0.12927842140197754,0.10589995235204697,0.38529416697565466
LearnedNonlinear,Warmstart,75,75,16QAM,45,64,15.0,12.0,0.1,1.7465729713439941,1.718610167503357,0.0403512567281723,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.7591081857681274,1.7309373617172241,0.06114988774061203,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.12170138955116272,0.4305555522441864,0.15035046637058258,0.10991165041923523,0.5531320839654654
LearnedNonlinear,Warmstart,100,100,16QAM,45,64,15.0,12.0,0.1,1.6401851177215576,1.6121160984039307,0.050975631922483444,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.6500067710876465,1.6217089891433716,0.07385384291410446,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.15520833432674408,0.5239583253860474,0.18073241412639618,0.11447561532258987,0.7199061670107767
LearnedNonlinear,Warmstart,125,125,16QAM,45,64,15.0,12.0,0.1,1.522326946258545,1.4940900802612305,0.06775936484336853,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.5389435291290283,1.5104485750198364,0.09357132762670517,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.17955729365348816,0.5831597447395325,0.20419380068778992,0.11946070939302444,0.9001585419755429
LearnedNonlinear,Warmstart,150,150,16QAM,45,64,15.0,12.0,0.1,1.4295896291732788,1.4010577201843262,0.09726852178573608,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.4439928531646729,1.4152213335037231,0.12122739106416702,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.19809028506278992,0.6269097328186035,0.2216232568025589,0.12487581372261047,1.0697216249536723
LearnedNonlinear,Warmstart,175,175,16QAM,45,64,15.0,12.0,0.1,1.32481849193573,1.2958769798278809,0.13821811974048615,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.3615158796310425,1.3322850465774536,0.16715119779109955,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.21067708730697632,0.6560763716697693,0.2324153631925583,0.1306442767381668,1.238376333960332
LearnedNonlinear,Warmstart,200,200,16QAM,45,64,15.0,12.0,0.1,1.2461843490600586,1.2166107892990112,0.20142990350723267,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,1.2854915857315063,1.2556202411651611,0.23120087385177612,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,0.0021428309846669436,44.690834045410156,0.21627603471279144,0.6668402552604675,0.23834741115570068,0.13669660687446594,1.4232323749456555
LearnedNonlinear,Bridge,201,1,16QAM,45,64,15.0,12.0,0.1,2.0198428630828857,1.9919617176055908,0.03221351280808449,0.0021679734345525503,0.0022026472724974155,0.004639104474335909,44.690834045410156,0.00020769827824551612,0.0,2.041252374649048,2.0136451721191406,0.05203985795378685,0.00189020240213722,0.0019390203524380922,0.004653667565435171,44.84669494628906,0.00017325731460005045,0.0,0.0018697010818868876,44.84669494628906,0.02782118134200573,0.1067708358168602,0.0718294233083725,0.10010004043579102,0.028058708063326776
