method,method_label,papr_mean_db,papr_p95_db,papr_max_db
OFDM,Classical OFDM,6.6489739418029785,8.40086555480957,10.876513481140137
Learned,Learned Basis,5.350034713745117,6.804338455200195,8.84178638458252
LearnedNonlinear,Learned + Nonlinear RX,5.349440574645996,6.801442623138428,8.844624519348145
