method,method_label,papr_db
OFDM,Classical OFDM,7.4116154
OFDM,Classical OFDM,6.308426
OFDM,Classical OFDM,6.793625
OFDM,Classical OFDM,6.06443
OFDM,Classical OFDM,8.749346
OFDM,Classical OFDM,4.096378
OFDM,Classical OFDM,7.6258607
OFDM,Classical OFDM,7.557425
OFDM,Classical OFDM,5.4028244
OFDM,Classical OFDM,6.764655
OFDM,Classical OFDM,8.808036
OFDM,Classical OFDM,7.2480483
OFDM,Classical OFDM,7.239656
OFDM,Classical OFDM,6.652403
OFDM,Classical OFDM,5.058274
OFDM,Classical OFDM,6.6956224
OFDM,Classical OFDM,6.654074
OFDM,Classical OFDM,5.5026364
OFDM,Classical OFDM,5.678635
OFDM,Classical OFDM,7.029086
OFDM,Classical OFDM,6.064308
OFDM,Classical OFDM,7.133543
OFDM,Classical OFDM,5.831129
OFDM,Classical OFDM,6.220159
OFDM,Classical OFDM,5.9138083
OFDM,Classical OFDM,5.719499
OFDM,Classical OFDM,7.3305416
OFDM,Classical OFDM,7.379689
OFDM,Classical OFDM,5.3255053
OFDM,Classical OFDM,7.0965505
OFDM,Classical OFDM,8.444605
OFDM,Classical OFDM,6.290529
OFDM,Classical OFDM,6.0441856
OFDM,Classical OFDM,7.153042
OFDM,Classical OFDM,5.527485
OFDM,Classical OFDM,5.7453527
OFDM,Classical OFDM,5.862722
OFDM,Classical OFDM,5.94598
OFDM,Classical OFDM,6.5523386
OFDM,Classical OFDM,6.33645
OFDM,Classical OFDM,4.978649
OFDM,Classical OFDM,6.419268
OFDM,Classical OFDM,7.241757
OFDM,Classical OFDM,7.580373
OFDM,Classical OFDM,7.869554
OFDM,Classical OFDM,6.8221493
OFDM,Classical OFDM,7.2922425
OFDM,Classical OFDM,5.056714
OFDM,Classical OFDM,6.243117
OFDM,Classical OFDM,5.5902796
OFDM,Classical OFDM,5.7447295
OFDM,Classical OFDM,5.42188
OFDM,Classical OFDM,6.7466187
OFDM,Classical OFDM,6.7541337
OFDM,Classical OFDM,7.069275
OFDM,Classical OFDM,8.543739
OFDM,Classical OFDM,5.4216175
OFDM,Classical OFDM,5.122848
OFDM,Classical OFDM,5.5000896
OFDM,Classical OFDM,8.078059
OFDM,Classical OFDM,8.487277
OFDM,Classical OFDM,8.559853
OFDM,Classical OFDM,6.314907
OFDM,Classical OFDM,6.3836107
OFDM,Classical OFDM,8.101947
OFDM,Classical OFDM,5.1844096
OFDM,Classical OFDM,6.8026137
OFDM,Classical OFDM,6.004241
OFDM,Classical OFDM,5.357614
OFDM,Classical OFDM,5.136128
OFDM,Classical OFDM,5.8297443
OFDM,Classical OFDM,5.8104796
OFDM,Classical OFDM,6.555072
OFDM,Classical OFDM,7.0224004
OFDM,Classical OFDM,5.725626
OFDM,Classical OFDM,7.4866247
OFDM,Classical OFDM,6.1379476
OFDM,Classical OFDM,4.611803
OFDM,Classical OFDM,7.0772986
OFDM,Classical OFDM,5.656105
OFDM,Classical OFDM,5.3174686
OFDM,Classical OFDM,7.375458
OFDM,Classical OFDM,6.639631
OFDM,Classical OFDM,6.734439
OFDM,Classical OFDM,6.7736053
OFDM,Classical OFDM,6.6101484
OFDM,Classical OFDM,4.6878233
OFDM,Classical OFDM,6.8552203
OFDM,Classical OFDM,6.1130614
OFDM,Classical OFDM,6.075678
OFDM,Classical OFDM,5.886605
OFDM,Classical OFDM,6.46617
OFDM,Classical OFDM,5.4695616
OFDM,Classical OFDM,6.4409757
OFDM,Classical OFDM,8.189693
OFDM,Classical OFDM,7.352091
OFDM,Classical OFDM,7.0999537
