method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.0,0.0,0.0,0.07477326621301472,0,5898240,,,,,Learned + Nonlinear RX,0.0,18.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.0,0.0,0.0,0.04998633812647313,0,5898240,,,,,Classical OFDM,0.0,20.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.0,0.0,0.0,0.06820714380592108,0,5898240,,,,,Learned Basis,0.0,20.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.0,0.0,0.0,0.06429273798130453,0,5898240,,,,,Learned + Nonlinear RX,0.0,20.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.05,0.1558347913953993,0.5235290527343751,0.5305664222687483,919151,5898240,,,,,Classical OFDM,0.05,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.05,0.15678592258029514,0.5272603352864582,0.5314585566520691,924761,5898240,,,,,Learned Basis,0.05,0.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.05,0.15697021484375,0.5271443684895833,0.5327945742756128,925848,5898240,,,,,Learned + Nonlinear RX,0.05,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.05,0.11763526068793403,0.419757080078125,0.43476723600178957,693841,5898240,,,,,Classical OFDM,0.05,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.05,0.11919470893012153,0.4259731716579861,0.4372178269550204,703039,5898240,,,,,Learned Basis,0.05,2.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.05,0.11921268039279515,0.42590128580729175,0.4380396958440542,703145,5898240,,,,,Learned + Nonlinear RX,0.05,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.05,0.08442009819878472,0.31472303602430557,0.3616640558466315,497930,5898240,,,,,Classical OFDM,0.05,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.05,0.08626285129123264,0.3221198187934028,0.36488928832113743,508799,5898240,,,,,Learned Basis,0.05,4.0
