method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.10230187310112847,0.37898220486111106,0.380279746837914,603401,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.10159556070963542,0.3800876193576389,0.3804545979946852,599235,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.09000000000000001,0.08596479627821181,0.33487820095486104,0.34170856699347496,507041,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.09000000000000001,0.08714074028862848,0.33066541883680556,0.3478183578699827,513977,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.09000000000000001,0.08677690294053819,0.33193766276041664,0.34787730406969786,511831,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.08000000000000002,0.06429206000434028,0.25269571940104163,0.30950707383453846,379210,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.08000000000000002,0.07118886311848958,0.2758463541666667,0.3155828509479761,419889,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.08000000000000002,0.07091200086805556,0.2762912326388889,0.3154983688145876,418256,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.07,0.04366421169704861,0.1728807237413195,0.2777554839849472,257542,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.07,0.05407562255859375,0.21247762044270835,0.2840103479102254,318951,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.07,0.0538177490234375,0.21220635308159724,0.28375653736293316,317430,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.06,0.026205952962239584,0.10425618489583334,0.24702191073447466,154569,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.06,0.036437310112847225,0.1444654676649306,0.2530662855133414,214916,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.06,0.03611331515842014,0.14342990451388887,0.25266701355576515,213005,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.05000000000000002,0.013441975911458333,0.053617350260416675,0.21730113634839654,79284,5898240,,,,,Classical OFDM
